Year,Facility Name,Sample Station Name ,Latitude,Longitude,Sample Type en,Sample Type fr,Substance Name en,Substance Name fr,Statistical Quantity en,Statistical Quantity fr,energy_below_1_mev,Result,Units
2018,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135m,Xenon-135m,Annual Total,Total annuel,,0,GBq/yr
2019,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.00002,GBq/yr
2019,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0,GBq/yr
2019,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0,GBq/yr
2019,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-133,Xenon-133,Annual Total,Total annuel,,0,GBq/yr
2019,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135,Xenon-135,Annual Total,Total annuel,,0,GBq/yr
2019,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135m,Xenon-135m,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-133,Xenon-133,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135,Xenon-135,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135m,Xenon-135m,Annual Total,Total annuel,,0,GBq/yr
2021,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.00004,GBq/yr
2022,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.0003,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.569,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.395,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.231,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.288,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.209,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.129,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.088,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.06,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.065,GBq/yr
