Year | Année,Facility Name | Nom de l'installation,Sample Station Name | Nom de la station d'échantillonnage,Latitude | Latitude,Longitude | Longitude,Sample Type (English) | Type d'échantillon (anglais),Sample Type (French) | Type d'échantillon (français),Substance Name (English) | Nom de substance (anglais),Substance Name (French) | Nom de substance (français),Statistical Quantity (English) | Quantité statistique (anglais),Statistical Quantity (French) | Quantité statistique (français),<,Result | Résultat,Units | Unités
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,70.4,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,251.17,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,185.03,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,95.44,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,283.9,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,262.7,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,158.43,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,165.2,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,171.35,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,164.12,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,119,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,3.5,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,866.5,GBq
