"year","facility_name","sample_station_name","latitude","longitude","sample_type_en","sample_type_fr","substance_name_en","substance_name_fr","statistical_quantity_en","statistical_quantity_fr","energy_below_1_mev","result","units","sample_category"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,4541.08,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,189.31,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,254.68,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,204.05,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,168.88,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,10.15,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,162.74,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,488.16,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,55.45,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,105.95,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,187.9,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,396.28,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,607.2,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1025.22,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,502.69,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,663.94,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,872.83,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1027.98,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1051,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,104.66,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,765.78,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,114.84,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,52.24,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,41.44,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,42.63,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,55.37,"GBq","Abiotic"
